"#","Date Time GMT-04:00","Temp °F (LGR S/N: 10883467 SEN S/N: 10883467)","RH % (LGR S/N: 10883467 SEN S/N: 10883467)","CO2 ppm (LGR S/N: 10883467 SEN S/N: 10883467)","Host Connected (LGR S/N: 10883467)","End Of File (LGR S/N: 10883467)"
1,08/02/16 10:59:49 AM,73.947,66.547,1688,,
2,08/02/16 11:59:49 AM,75.247,60.474,598,,
3,08/02/16 12:59:49 PM,76.681,60.443,728,,
4,08/02/16 01:59:49 PM,77.247,58.160,688,,
5,08/02/16 02:59:49 PM,76.464,58.258,490,,
6,08/02/16 03:59:49 PM,74.424,60.272,386,,
7,08/02/16 04:59:49 PM,72.783,62.512,403,,
8,08/02/16 05:59:49 PM,71.490,65.106,414,,
9,08/02/16 06:59:49 PM,70.803,65.997,408,,
10,08/02/16 07:59:49 PM,70.416,66.632,388,,
11,08/02/16 08:59:49 PM,70.372,67.340,431,,
12,08/02/16 09:59:49 PM,70.201,67.126,433,,
13,08/02/16 10:59:49 PM,70.201,66.809,437,,
14,08/02/16 11:59:49 PM,70.243,66.388,446,,
15,08/03/16 12:59:49 AM,70.201,66.083,439,,
16,08/03/16 01:59:49 AM,70.201,65.784,433,,
17,08/03/16 02:59:49 AM,70.201,65.295,446,,
18,08/03/16 03:59:49 AM,70.158,64.551,452,,
19,08/03/16 04:59:49 AM,69.901,64.148,461,,
20,08/03/16 05:59:49 AM,69.771,63.660,461,,
21,08/03/16 06:59:49 AM,69.728,63.281,478,,
22,08/03/16 07:59:49 AM,70.158,63.190,471,,
23,08/03/16 08:59:49 AM,71.017,64.417,550,,
24,08/03/16 09:59:49 AM,73.083,64.069,913,,
